Gene1,Gene2
AATK,ACVRL1
AATK,AFAP1-AS1
AATK,BEND2
AATK,BPI
AATK,C1orf222
AATK,CALD1
AATK,CCDC135
AATK,CCDC170
AATK,CDKN2B
AATK,CETP
AATK,CMTM2
AATK,CTDSPL
AATK,CTTN
AATK,CUEDC1
AATK,CXCL10
AATK,CXCL3
AATK,CXCL5
AATK,DGKG
AATK,DOCK5
AATK,EPDR1
AATK,EPHB2
AATK,F2RL3
AATK,FRMD3
AATK,FZD2
AATK,GUCY1B3
AATK,HBG1
AATK,ITGB5
AATK,LEFTY1
AATK,LGALS12
AATK,LGALSL
AATK,LINC00989
AATK,M1AP
AATK,MAOB
AATK,MAX
AATK,MBOAT2
AATK,MFAP3L
AATK,MYLK
AATK,NEURL1B
AATK,OPHN1
AATK,PADI2
AATK,PARD3
AATK,PDGFC
AATK,PRLR
AATK,PRTFDC1
AATK,PTPRN
AATK,PVRL2
AATK,RNASE3
AATK,RTEL1-TNFRSF6B
AATK,SCARF1
AATK,SERINC2
AATK,SERPINE1
AATK,SLC24A3
AATK,SLFN14
AATK,SLPI
AATK,SPHK1
AATK,SPOCD1
AATK,STON2
AATK,TFPI
AATK,THBS1
AATK,TMEM150B
AATK,TNFRSF21
AATK,TNNC2
AATK,TRAM2-AS1
AATK,TTC7B
ABCA1,ACTG2
ABCA1,AK4
ABCA1,ALDH1A1
ABCA1,AQP1
ABCA1,AQP10
ABCA1,ARHGEF28
ABCA1,ASMT
ABCA1,BBS5
ABCA1,BCAS1
ABCA1,C10orf11
ABCA1,C15orf38
ABCA1,C17orf96
ABCA1,C1orf111
ABCA1,C1orf115
ABCA1,C22orf43
ABCA1,C2orf48
ABCA1,C8orf88
ABCA1,CCR8
ABCA1,CD1A
ABCA1,CD207
ABCA1,CHST13
ABCA1,CKM
ABCA1,CLCN4
ABCA1,CLDN22
ABCA1,CLDN23
ABCA1,CRB2
ABCA1,CTB-61M7.2
ABCA1,CTRC
ABCA1,CYP1B1-AS1
ABCA1,CYP27A1
ABCA1,CYP3A5
ABCA1,DLG5
ABCA1,DNAH12
ABCA1,DNAH7
ABCA1,DNAJB13
ABCA1,DNAJC28
ABCA1,DNTT
ABCA1,DOCK1
ABCA1,DTNA
ABCA1,DYRK3
ABCA1,ECM1
ABCA1,EPHB4
ABCA1,ESPL1
ABCA1,EVC2
ABCA1,FBN1
ABCA1,FCAR
ABCA1,FFAR4
ABCA1,GPR133
ABCA1,GPR63
ABCA1,GRIK4
ABCA1,GRIN2C
ABCA1,HCAR1
ABCA1,HCG20
ABCA1,HCN3
ABCA1,HHIP-AS1
ABCA1,HSPG2
ABCA1,IL17A
ABCA1,IL27
ABCA1,IQCD
ABCA1,IQSEC2
ABCA1,JADE3
ABCA1,KCNA5
ABCA1,KCNH8
ABCA1,KCTD19
ABCA1,KIAA1257
ABCA1,KLHL14
ABCA1,KRT5
ABCA1,LIF
ABCA1,LILRB5
ABCA1,LINC00610
ABCA1,LINC00677
ABCA1,LINC00968
ABCA1,LINC01036
ABCA1,LONRF2
ABCA1,LRFN4
ABCA1,LRRC3DN
ABCA1,LRRC48
ABCA1,LURAP1
ABCA1,MAK
ABCA1,MAPK8IP2
ABCA1,MMP9
ABCA1,MPP3
ABCA1,MPPED2
ABCA1,MPRIP-AS1
ABCA1,MYO7A
ABCA1,NCS1
ABCA1,NLGN3
ABCA1,NODAL
ABCA1,NPIPA7
ABCA1,NRG1
ABCA1,NXN
ABCA1,OXER1
ABCA1,PAH
ABCA1,PCDH1
ABCA1,PDZD2
ABCA1,PKD1L1
ABCA1,PPFIA4
ABCA1,PRKCDBP
ABCA1,PTGR1
ABCA1,PTX3
ABCA1,RAB26
ABCA1,RAB44
ABCA1,RAPGEFL1
ABCA1,RBMS3
ABCA1,RCVRN
ABCA1,RNF215
ABCA1,RTN4RL1
ABCA1,RUVBL1-AS1
ABCA1,SEMA3C
ABCA1,SERINC4
ABCA1,SEZ6
ABCA1,SIGLEC12
ABCA1,SIGLEC15
ABCA1,SLC1A3
ABCA1,SLC22A16
ABCA1,SLC32A1
ABCA1,SLC46A2
ABCA1,SLC4A3
ABCA1,SLC6A8
ABCA1,SLC6A9
ABCA1,SLCO5A1
ABCA1,SMIM10
ABCA1,SOGA2
ABCA1,STRIP2
ABCA1,STX16-NPEPL1
ABCA1,TAC3
ABCA1,THNSL2
ABCA1,TIGD4
ABCA1,TLR8
ABCA1,TMEM105
ABCA1,TNS3
ABCA1,TPD52L1
ABCA1,TRIM74
ABCA1,UCN
ABCA1,VASN
ABCA1,VEPH1
ABCA1,VIT
ABCA1,VNN3
ABCC3,ACRBP
ABCC3,ALOX12
ABCC3,ARHGAP6
ABCC3,BEND2
ABCC3,C12orf39
ABCC3,C2orf88
ABCC3,C6orf25
ABCC3,CA2
ABCC3,CCDC135
ABCC3,CCDC170
ABCC3,CD36
ABCC3,CETP
ABCC3,CLDN5
ABCC3,CLEC1B
ABCC3,CMTM5
ABCC3,CXCL5
ABCC3,DAB2
ABCC3,DGKG
ABCC3,DOCK5
ABCC3,ENKUR
ABCC3,ESAM
ABCC3,F13A1
ABCC3,F2RL3
ABCC3,FAXDC2
ABCC3,FRMD3
ABCC3,FSTL1
ABCC3,GMPR
ABCC3,GNAZ
ABCC3,GNG11
ABCC3,GP1BA
ABCC3,GP6
ABCC3,GP9
ABCC3,GUCY1B3
ABCC3,HBA1
ABCC3,HBG1
ABCC3,HBG2
ABCC3,HGD
ABCC3,ITGA2B
ABCC3,ITGB3
ABCC3,ITGB5
ABCC3,LGALSL
ABCC3,LY6G6F
ABCC3,M1AP
ABCC3,MYEOV
ABCC3,MYL9
ABCC3,MYLK
ABCC3,NEXN
ABCC3,OPHN1
ABCC3,PARD3
ABCC3,PCSK6
ABCC3,PDE5A
ABCC3,PDGFA
ABCC3,PDZK1IP1
ABCC3,PF4
ABCC3,PF4V1
ABCC3,PNMT
ABCC3,PPBP
ABCC3,PRKAR2B
ABCC3,PRLR
ABCC3,PTGS1
ABCC3,PTPRN
ABCC3,PYGL
ABCC3,RBPMS2
ABCC3,RGS6
ABCC3,SAMD14
ABCC3,SCARF1
ABCC3,SCGB1C1
ABCC3,SCN1B
ABCC3,SDPR
ABCC3,SELP
ABCC3,SEPT5
ABCC3,SERPINE1
ABCC3,SH3BGRL2
ABCC3,SLC24A3
ABCC3,SMOX
ABCC3,SPARC
ABCC3,SPHK1
ABCC3,STON2
ABCC3,THBS1
ABCC3,TMEM40
ABCC3,TNFSF4
ABCC3,TNNC2
ABCC3,TREML1
ABCC3,TRIM58
ABCC3,TUBB1
ABCC3,VPREB1
ABHD1,FAM127C
ABHD1,SLCO5A1
ABHD1,ZNF366
ABLIM3,HOPX
ABLIM3,SPOCD1
ABLIM3,TRIM40
ACRBP,C2orf88
ACRBP,CLDN5
ACRBP,CLEC1B
ACRBP,CMTM5
ACRBP,ENKUR
ACRBP,ESAM
ACRBP,F13A1
ACRBP,GMPR
ACRBP,GNG11
ACRBP,GP1BA
ACRBP,GP9
ACRBP,HBG2
ACRBP,LY6G6F
ACRBP,PDZK1IP1
ACRBP,PF4
ACRBP,PPBP
ACRBP,SDPR
ACRBP,SEPT5
ACRBP,SMOX
ACRBP,TMEM40
ACRBP,TREML1
ACRBP,TUBB1
ACTG2,AK4
ACTG2,AQP1
ACTG2,AQP10
ACTG2,ARHGEF28
ACTG2,ASMT
ACTG2,BBS5
ACTG2,BCAS1
ACTG2,C15orf38
ACTG2,C17orf96
ACTG2,C1orf111
ACTG2,C1orf115
ACTG2,C22orf43
ACTG2,C2orf48
ACTG2,C8orf88
ACTG2,CCR8
ACTG2,CD1A
ACTG2,CD207
ACTG2,CHST13
ACTG2,CKM
ACTG2,CLCN4
ACTG2,CLDN22
ACTG2,CLDN23
ACTG2,CRB2
ACTG2,CTB-61M7.2
ACTG2,CTRC
ACTG2,CYP1B1-AS1
ACTG2,CYP27A1
ACTG2,CYP3A5
ACTG2,DLG5
ACTG2,DNAH12
ACTG2,DNAH7
ACTG2,DNAJB13
ACTG2,DNAJC28
ACTG2,DNTT
ACTG2,DOCK1
ACTG2,DTNA
ACTG2,DYRK3
ACTG2,ECM1
ACTG2,EPHB4
ACTG2,ESPL1
ACTG2,EVC2
ACTG2,FAM20C
ACTG2,FBN1
ACTG2,FCAR
ACTG2,FFAR4
ACTG2,GPR133
ACTG2,GPR63
ACTG2,GRIK4
ACTG2,GRIN2C
ACTG2,HCAR1
ACTG2,HCG20
ACTG2,HCN3
ACTG2,HHIP-AS1
ACTG2,HSPG2
ACTG2,IL17A
ACTG2,IL27
ACTG2,IQCD
ACTG2,IQSEC2
ACTG2,JADE3
ACTG2,KCNA5
ACTG2,KCNH8
ACTG2,KCTD19
ACTG2,KIAA1257
ACTG2,KLHL14
ACTG2,KRT5
ACTG2,LIF
ACTG2,LILRB5
ACTG2,LINC00610
ACTG2,LINC00677
ACTG2,LINC00968
ACTG2,LINC01036
ACTG2,LONRF2
ACTG2,LRFN4
ACTG2,LRRC3DN
ACTG2,LRRC48
ACTG2,LURAP1
ACTG2,MAK
ACTG2,MAPK8IP2
ACTG2,MMP9
ACTG2,MPP3
ACTG2,MPPED2
ACTG2,MPRIP-AS1
ACTG2,MYO7A
ACTG2,NCS1
ACTG2,NLGN3
ACTG2,NODAL
ACTG2,NPIPA7
ACTG2,NRG1
ACTG2,NXN
ACTG2,OXER1
ACTG2,PAH
ACTG2,PCDH1
ACTG2,PDZD2
ACTG2,PKD1L1
ACTG2,PPFIA4
ACTG2,PRKCDBP
ACTG2,PTGR1
ACTG2,PTX3
ACTG2,RAB26
ACTG2,RAB44
ACTG2,RAB9B
ACTG2,RAPGEFL1
ACTG2,RBMS3
ACTG2,RCVRN
ACTG2,RNF215
ACTG2,RTN4RL1
ACTG2,RUVBL1-AS1
ACTG2,SEMA3C
ACTG2,SERINC4
ACTG2,SEZ6
ACTG2,SIGLEC12
ACTG2,SIGLEC15
ACTG2,SLC1A3
ACTG2,SLC22A16
ACTG2,SLC32A1
ACTG2,SLC46A2
ACTG2,SLC4A3
ACTG2,SLC6A8
ACTG2,SLC6A9
ACTG2,SLCO5A1
ACTG2,SMIM10
ACTG2,SOGA2
ACTG2,STRIP2
ACTG2,STX16-NPEPL1
ACTG2,TAC3
ACTG2,THNSL2
ACTG2,TIGD4
ACTG2,TMEM105
ACTG2,TNS3
ACTG2,TPD52L1
ACTG2,TRIM74
ACTG2,UCN
ACTG2,VASN
ACTG2,VEGFA
ACTG2,VEPH1
ACTG2,VIT
ACTG2,VNN3
ACVRL1,AK4
ACVRL1,AQP1
ACVRL1,BBS5
ACVRL1,C15orf38
ACVRL1,C17orf96
ACVRL1,C1orf111
ACVRL1,C22orf43
ACVRL1,CALD1
ACVRL1,CCR8
ACVRL1,CD1A
ACVRL1,CHST13
ACVRL1,CLDN22
ACVRL1,CMTM2
ACVRL1,CRB2
ACVRL1,CTB-61M7.2
ACVRL1,CTDSPL
ACVRL1,CTRC
ACVRL1,CTTN
ACVRL1,CYP1B1-AS1
ACVRL1,CYP3A5
ACVRL1,DNAJB13
ACVRL1,DNAJC28
ACVRL1,DNTT
ACVRL1,DOCK1
ACVRL1,ECM1
ACVRL1,EPHB4
ACVRL1,ESPL1
ACVRL1,FBN1
ACVRL1,FCAR
ACVRL1,GPR133
ACVRL1,GRIK4
ACVRL1,GRIN2C
ACVRL1,HCG20
ACVRL1,HCN3
ACVRL1,HHIP-AS1
ACVRL1,HSPG2
ACVRL1,IL17A
ACVRL1,IL27
ACVRL1,KCNH8
ACVRL1,KLHL14
ACVRL1,LIF
ACVRL1,LINC00610
ACVRL1,LINC01036
ACVRL1,LRRC3DN
ACVRL1,LURAP1
ACVRL1,MAPK8IP2
ACVRL1,MAX
ACVRL1,MMP9
ACVRL1,MPRIP-AS1
ACVRL1,MYO7A
ACVRL1,NCS1
ACVRL1,NLGN3
ACVRL1,NODAL
ACVRL1,NPIPA7
ACVRL1,NXN
ACVRL1,OXER1
ACVRL1,PAH
ACVRL1,PRKCDBP
ACVRL1,PRTFDC1
ACVRL1,PTGR1
ACVRL1,RBMS3
ACVRL1,RCVRN
ACVRL1,RNASE3
ACVRL1,RNF215
ACVRL1,RTN4RL1
ACVRL1,RUVBL1-AS1
ACVRL1,SEMA3C
ACVRL1,SERINC4
ACVRL1,SEZ6
