Gene1,Gene2
ABCA1,ABCC3
ABCA1,AK4
ABCA1,AQP1
ABCA1,AQP10
ABCA1,BBS5
ABCA1,BCAS1
ABCA1,C15orf26
ABCA1,C15orf38
ABCA1,C1orf111
ABCA1,C1orf115
ABCA1,C22orf43
ABCA1,C2orf48
ABCA1,CKM
ABCA1,CYP1B1-AS1
ABCA1,CYP27A1
ABCA1,CYP3A5
ABCA1,DLG5
ABCA1,DNAH7
ABCA1,DNAJB13
ABCA1,DNAJC28
ABCA1,DNTT
ABCA1,ECM1
ABCA1,ESPL1
ABCA1,EVC2
ABCA1,FBN1
ABCA1,GRIK4
ABCA1,GRIN2C
ABCA1,HCG20
ABCA1,HHIP-AS1
ABCA1,HSPG2
ABCA1,IL27
ABCA1,IQCD
ABCA1,KCTD19
ABCA1,KLHL14
ABCA1,KRT5
ABCA1,LIF
ABCA1,LONRF2
ABCA1,LRFN4
ABCA1,LRRC3DN
ABCA1,LURAP1
ABCA1,MPPED2
ABCA1,MPRIP-AS1
ABCA1,MYO7A
ABCA1,NCS1
ABCA1,NLGN3
ABCA1,NODAL
ABCA1,NRG1
ABCA1,OXER1
ABCA1,PAH
ABCA1,PKD1L1
ABCA1,PPFIA4
ABCA1,PTGR1
ABCA1,PTX3
ABCA1,PVRL2
ABCA1,RAB44
ABCA1,RAPGEFL1
ABCA1,RBMS3
ABCA1,RCVRN
ABCA1,RNF215
ABCA1,RTN4RL1
ABCA1,SEMA3C
ABCA1,SEZ6
ABCA1,SIGLEC15
ABCA1,SLC1A3
ABCA1,SLC32A1
ABCA1,SLC46A2
ABCA1,SLC4A3
ABCA1,SLC6A9
ABCA1,SOGA2
ABCA1,STRIP2
ABCA1,STX16-NPEPL1
ABCA1,TAC3
ABCA1,TIGD4
ABCA1,TNS3
ABCA1,UCN
ABCA1,VASN
ABCA1,VEPH1
ABCA1,VNN3
ABCC3,AQP1
ABCC3,AQP10
ABCC3,BBS5
ABCC3,BCAS1
ABCC3,C15orf38
ABCC3,C1orf111
ABCC3,C1orf115
ABCC3,C22orf43
ABCC3,CKM
ABCC3,CYP27A1
ABCC3,CYP3A5
ABCC3,DLG5
ABCC3,DNAJB13
ABCC3,DNAJC28
ABCC3,DNTT
ABCC3,ECM1
ABCC3,ESPL1
ABCC3,EVC2
ABCC3,FBN1
ABCC3,GRIN2C
ABCC3,HCG20
ABCC3,HHIP-AS1
ABCC3,IL27
ABCC3,IQCD
ABCC3,KCTD19
ABCC3,KLHL14
ABCC3,KRT5
ABCC3,LONRF2
ABCC3,LRFN4
ABCC3,LRRC3DN
ABCC3,LURAP1
ABCC3,MPRIP-AS1
ABCC3,MYO7A
ABCC3,NCS1
ABCC3,NLGN3
ABCC3,NODAL
ABCC3,NRG1
ABCC3,OXER1
ABCC3,PAH
ABCC3,PKD1L1
