Gene1,Gene2
MAX,AATK
CEBPD,AATK
RXRA,AATK
ID1,AATK
ZNF132,AATK
JUND,AATK
NFE2,AATK
FOSB,AATK
SPI1,AATK
LYL1,AATK
TSC22D1,AATK
MAFG,AATK
GFI1B,AATK
HOPX,AATK
IRF8,AATK
CEBPD,ABCA1
IRF8,ABCA1
RXRA,ABCA1
ID3,ABCA1
JUN,ABCA1
JUND,ABCA1
NFE2,ABCA1
FOSB,ABCA1
DNAJC1,ABCA1
SPIB,ABCA1
LYL1,ABCA1
SPI1,ABCA1
HLX,ABCA1
IRF7,ABCA1
MYBL2,ABCA1
MAX,ABCC3
TAL1,ABCC3
MEIS1,ABCC3
JUN,ABCC3
NFE2,ABCC3
PBX1,ABCC3
SPI1,ABCC3
LYL1,ABCC3
GRHL1,ABCC3
TSC22D1,ABCC3
MAFG,ABCC3
ZGLP1,ABCC3
GFI1B,ABCC3
HOPX,ABCC3
IRF8,ABCC3
ZNF366,ABHD1
MAX,ABHD1
CEBPD,ABHD1
TCFL5,ABHD1
ID1,ABHD1
ID3,ABHD1
ZNF683,ABHD1
THAP9,ABHD1
ASCL2,ABHD1
JUN,ABHD1
JUND,ABHD1
FOSB,ABHD1
DNAJC1,ABHD1
LYL1,ABHD1
HOPX,ABHD1
MAX,ABLIM3
TAL1,ABLIM3
MEIS1,ABLIM3
JUN,ABLIM3
NFE2,ABLIM3
PBX1,ABLIM3
DNAJC1,ABLIM3
LYL1,ABLIM3
GRHL1,ABLIM3
TSC22D1,ABLIM3
MAFG,ABLIM3
ZFHX3,ABLIM3
ZGLP1,ABLIM3
GFI1B,ABLIM3
HOPX,ABLIM3
MAX,AC000068.5
TAL1,AC000068.5
CEBPD,AC000068.5
IRF8,AC000068.5
ID3,AC000068.5
ASCL2,AC000068.5
JUN,AC000068.5
JUND,AC000068.5
NFE2,AC000068.5
FOSB,AC000068.5
DNAJC1,AC000068.5
LYL1,AC000068.5
TSC22D1,AC000068.5
HOPX,AC000068.5
IRF7,AC000068.5
ZNF366,AC002451.3
MAX,AC002451.3
CEBPD,AC002451.3
ID1,AC002451.3
RXRA,AC002451.3
JUN,AC002451.3
JUND,AC002451.3
FOSB,AC002451.3
SPI1,AC002451.3
LYL1,AC002451.3
MAFG,AC002451.3
ZFHX3,AC002451.3
IRF7,AC002451.3
IRF8,AC002451.3
MYCL,AC002451.3
MAX,AC002456.2
TAL1,AC002456.2
AIRE,AC002456.2
JUN,AC002456.2
NFE2,AC002456.2
FOSB,AC002456.2
PBX1,AC002456.2
SPI1,AC002456.2
LYL1,AC002456.2
GRHL1,AC002456.2
TSC22D1,AC002456.2
ZGLP1,AC002456.2
GFI1B,AC002456.2
HOPX,AC002456.2
IRX3,AC002456.2
MAX,AC005307.1
IRF8,AC005307.1
L3MBTL4,AC005307.1
JUN,AC005307.1
JUND,AC005307.1
FOSB,AC005307.1
DNAJC1,AC005307.1
SPIB,AC005307.1
LYL1,AC005307.1
TSC22D1,AC005307.1
SPI1,AC005307.1
HOPX,AC005307.1
HLX,AC005307.1
IRF7,AC005307.1
MYBL2,AC005307.1
CEBPD,AC005523.3
