Gene1,Gene2
AATK,AK4
AATK,AURKC
AATK,DYRK3
AATK,IL32
AATK,ILK
AATK,LRP1
AATK,TPD52L1
AATK,TYROBP
ABCA1,ABCC3
ABCA1,ALDH1A1
ABCA1,APP
ABCA1,AQP10
ABCA1,ATP6V0A1
ABCA1,CETP
ABCA1,CYP27A1
ABCA1,LST1
ABCA1,MS4A1
ABCA1,MS4A6A
ABCA1,RAB13
ABCA1,RAB9B
ABCA1,SLC11A1
ABCA1,SLC17A9
ABCA1,SLC22A16
ABCA1,SLC32A1
ABCA1,SLC43A2
ABCA1,SLC46A2
ABCA1,SLC4A3
ABCA1,SLC6A8
ABCA1,SLC8A3
ABCC3,AQP10
ABCC3,CYP3A5
ABCC3,LST1
ABCC3,RAB13
ABCC3,RAB9B
ABCC3,SLC11A1
ABCC3,SLC17A9
ABCC3,SLC1A3
ABCC3,SLC22A16
ABCC3,SLC32A1
ABCC3,SLC43A2
ABCC3,SLC4A3
ABCC3,SLC6A8
ABCC3,SLC8A3
ABHD1,ALDH1A1
ABHD1,ALDH4A1
ABHD1,HGD
ABHD1,JOSD2
ABLIM3,LIMS1
ABLIM3,PDLIM1
ACRBP,CRB2
ACRBP,KAT2B
ACTB,PDZK1IP1
ACTG2,CALD1
ACTG2,GAS2L1
ACTG2,GSN
ACTG2,TLN1
ACTG2,TPM1
ACTG2,TPM2
ACTG2,TPM4
ACVRL1,ASGR1
ACVRL1,ASGR2
ACVRL1,CCR10
ACVRL1,CLEC10A
ACVRL1,CLEC4E
ACVRL1,CLEC4G
ACVRL1,CLEC5A
ACVRL1,F2RL3
ACVRL1,GPR56
ACVRL1,IL3RA
ACVRL1,ILK
ACVRL1,LAIR2
ACVRL1,LGALS2
ACVRL1,LGALS3
ACVRL1,PDGFRA
ACVRL1,STAB1
ACVRL1,TYROBP
ADAP2,CD151
ADAP2,DUSP23
ADAP2,ENTPD1
ADAP2,EPDR1
ADAP2,GAS2L1
ADAP2,INPP5A
ADAP2,PADI2
ADAP2,PTPN18
ADAP2,PTPRN
ADAP2,SDPR
ADAP2,TNS1
ADAP2,TPD52L1
ADAP2,TPPP3
ADAP2,TUBB1
AFAP1-AS1,NEAT1
AGAP3,AGTRAP
AGAP3,APP
AGAP3,ARHGAP18
AGAP3,ARHGAP6
AGAP3,FADS2
AGAP3,GABRD
AGAP3,GGA1
AGAP3,GNG11
AGAP3,GPR56
AGAP3,GPSM1
AGAP3,GRASP
AGAP3,GRIK4
AGAP3,GRIN2C
AGAP3,HOMER3
AGAP3,INPP5A
AGAP3,MPP3
AGAP3,NLGN3
AGAP3,NPTX2
AGAP3,NRG1
